iter,view_total,view_num,spin_total,spin_num,time,memory
10,75,75,100,72,1716722288499,369572024
10,75,75,100,73,1716722288499,369572024
10,75,75,100,74,1716722288499,369572024
10,75,75,100,75,1716722288499,369572024
10,75,75,100,76,1716722288499,369572024
10,75,75,100,77,1716722288499,369572024
10,75,75,100,78,1716722288499,369572024
10,75,75,100,79,1716722288499,369572024
10,75,75,100,80,1716722288499,369572024
10,75,75,100,81,1716722288499,369572024
10,75,75,100,82,1716722288499,369572024
10,75,75,100,83,1716722288499,369572024
10,75,75,100,84,1716722288499,369572024
10,75,75,100,85,1716722288499,369572024
10,75,75,100,86,1716722288499,369572024
10,75,75,100,87,1716722288499,369572024
10,75,75,100,88,1716722288499,369572024
10,75,75,100,89,1716722288499,369572024
10,75,75,100,90,1716722288499,369572024
10,75,75,100,91,1716722288499,369572024
10,75,75,100,92,1716722288499,369572024
10,75,75,100,93,1716722288499,369572024
10,75,75,100,94,1716722288499,369572024
10,75,75,100,95,1716722288499,369572024
10,75,75,100,96,1716722288499,369572024
10,75,75,100,97,1716722288499,369572024
10,75,75,100,98,1716722288499,369572024
10,75,75,100,99,1716722288499,369572024
10,100,100,25,0,1716722300260,88023080
10,100,100,25,1,1716722300260,88023080
10,100,100,25,2,1716722300260,88023080
10,100,100,25,3,1716722300260,88023080
10,100,100,25,4,1716722300260,88023080
10,100,100,25,5,1716722300260,88023080
10,100,100,25,6,1716722300260,88023080
10,100,100,25,7,1716722300260,88023080
10,100,100,25,8,1716722300260,88023080
10,100,100,25,9,1716722300260,88023080
10,100,100,25,10,1716722300260,88023080
10,100,100,25,11,1716722300260,88023080
10,100,100,25,12,1716722300260,88023080
10,100,100,25,13,1716722300260,88023080
10,100,100,25,14,1716722300260,88023080
10,100,100,25,15,1716722300260,88023080
10,100,100,25,16,1716722300260,88023080
10,100,100,25,17,1716722300260,88023080
10,100,100,25,18,1716722300260,88023080
10,100,100,25,19,1716722300260,88023080
10,100,100,25,20,1716722300260,88023080
10,100,100,25,21,1716722300260,88023080
10,100,100,25,22,1716722300260,88023080
10,100,100,25,23,1716722300260,88023080
10,100,100,25,24,1716722300260,88023080
10,100,100,50,0,1716722308400,192071872
10,100,100,50,1,1716722308400,192071872
10,100,100,50,2,1716722308400,192071872
10,100,100,50,3,1716722308400,192071872
10,100,100,50,4,1716722308400,192071872
10,100,100,50,5,1716722308400,192071872
10,100,100,50,6,1716722308400,192071872
